,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,1,0,1,3,2,1,33,1125.0,1454,0,0,0,2017-06-01
1,2,0,2,3,2,1,33,1125.0,1442,1,0,0,2017-06-02
2,2,0,0,3,2,1,33,1125.0,1442,0,0,0,2017-06-03
3,2,0,0,3,2,1,33,0.0,1691,0,0,0,2017-06-04
4,0,0,0,3,2,1,33,1125.0,1442,2,0,0,2017-06-05
5,0,0,0,3,2,1,33,1125.0,1442,0,0,0,2017-06-06
6,0,0,0,3,2,1,33,1125.0,1442,0,0,0,2017-06-07
7,1,0,1,3,2,1,33,1125.0,1442,0,0,0,2017-06-08
8,2,0,1,3,2,1,33,1125.0,1442,0,0,0,2017-06-09
9,2,1,1,3,2,1,33,1125.0,1442,0,0,0,2017-06-10
10,2,1,0,3,2,1,33,0.0,1770,0,0,0,2017-06-11
11,4,0,3,3,2,1,33,1125.0,1442,2,0,0,2017-06-12
12,0,0,0,3,2,1,33,1125.0,1442,3,1,0,2017-06-13
13,0,0,0,3,2,1,33,1125.0,1442,0,0,0,2017-06-14
14,3,0,3,3,2,1,33,1125.0,1442,0,0,0,2017-06-15
15,2,0,1,3,2,1,33,1125.0,1442,2,0,0,2017-06-16
16,2,2,2,3,2,1,33,1125.0,1442,0,0,0,2017-06-17
17,2,2,0,3,2,1,33,0.0,1827,0,0,0,2017-06-18
18,3,0,0,3,2,1,33,1125.0,1442,1,0,0,2017-06-19
19,0,0,0,3,2,1,33,1125.0,1442,3,0,0,2017-06-20
20,2,0,2,3,2,1,33,1125.0,1471,0,0,0,2017-06-21
21,1,0,0,3,2,1,33,1125.0,1471,1,0,0,2017-06-22
22,1,0,1,3,2,1,33,1125.0,1471,1,0,0,2017-06-23
23,1,1,1,3,2,1,33,1125.0,1471,0,0,0,2017-06-24
24,1,1,0,3,2,1,33,0.0,1514,0,0,0,2017-06-25
25,4,0,3,3,2,1,33,1125.0,1471,1,0,0,2017-06-26
26,3,0,1,3,2,1,33,1125.0,1471,2,0,0,2017-06-27
27,2,0,1,3,2,1,33,1125.0,1471,1,1,0,2017-06-28
28,1,0,1,3,2,1,33,1125.0,1471,2,0,0,2017-06-29
29,0,0,0,3,2,1,33,1125.0,1471,1,0,0,2017-06-30
30,0,1,1,3,2,1,33,1125.0,1471,0,0,0,2017-07-01
31,0,1,0,3,2,1,33,0.0,1419,0,0,0,2017-07-02
32,1,0,0,3,2,1,33,1125.0,1471,0,0,0,2017-07-03
33,2,0,2,3,2,1,33,1125.0,1387,1,0,0,2017-07-04
34,4,0,3,3,2,1,34,1125.0,1387,1,0,0,2017-07-05
35,3,0,2,2,3,1,34,4175.0,1387,2,1,0,2017-07-06
36,3,0,2,2,3,1,34,1175.0,1387,2,0,0,2017-07-07
37,3,2,2,2,3,1,34,1175.0,1387,0,0,0,2017-07-08
38,3,2,0,2,3,1,34,0.0,1433,0,0,0,2017-07-09
39,6,0,2,2,3,1,34,1175.0,1637,1,0,0,2017-07-10
40,4,0,2,1,3,1,34,1025.0,1637,0,3,0,2017-07-11
41,4,0,1,1,3,1,34,1025.0,1637,1,0,0,2017-07-12
42,4,0,2,1,3,1,34,1025.0,1637,1,1,0,2017-07-13
43,2,0,1,1,3,1,34,1025.0,1637,1,2,0,2017-07-14
44,2,3,3,1,3,1,35,1025.0,1637,0,0,0,2017-07-15
45,2,3,0,1,3,1,35,0.0,1576,0,0,0,2017-07-16
46,5,0,1,1,3,1,35,1025.0,1789,1,0,0,2017-07-17
47,5,1,1,1,3,1,35,1025.0,1789,0,0,0,2017-07-18
48,5,0,0,1,3,1,35,1025.0,1789,0,1,0,2017-07-19
49,5,0,1,1,3,1,35,1025.0,1945,1,0,0,2017-07-20
50,4,0,1,2,3,1,35,1175.0,1945,0,2,0,2017-07-21
51,4,0,0,2,3,1,35,1175.0,1945,0,0,0,2017-07-22
52,4,0,0,2,3,1,35,0.0,1482,0,0,0,2017-07-23
53,2,0,0,2,3,1,35,1175.0,2024,1,0,1,2017-07-24
54,1,0,0,2,3,1,35,1175.0,2024,1,0,0,2017-07-25
