,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,1,0,1,3,2,1,33,1125.0,1543,0,0,0,2017-06-01
1,1,0,1,3,2,1,33,1125.0,1543,1,0,0,2017-06-02
2,1,1,1,3,2,1,33,1125.0,1648,0,0,0,2017-06-03
3,1,1,0,3,2,1,33,0.0,1439,0,0,0,2017-06-04
4,2,0,1,3,2,1,33,1125.0,1648,1,0,0,2017-06-05
5,1,0,0,3,2,1,33,1125.0,1648,1,0,0,2017-06-06
6,0,0,0,3,2,1,33,1125.0,1648,1,0,0,2017-06-07
7,4,0,4,3,2,1,33,1125.0,1648,0,0,0,2017-06-08
8,3,0,1,3,2,1,33,1125.0,1648,2,0,0,2017-06-09
9,3,1,1,3,2,1,33,1125.0,1648,0,0,0,2017-06-10
10,3,1,0,3,2,1,33,0.0,1679,0,0,0,2017-06-11
11,5,0,1,3,2,1,33,1125.0,1648,0,0,0,2017-06-12
12,3,0,1,3,2,1,33,1125.0,1648,3,0,0,2017-06-13
13,3,0,1,3,2,1,33,1125.0,1558,1,0,0,2017-06-14
14,2,0,1,3,2,1,33,1125.0,1558,1,1,0,2017-06-15
15,2,0,2,3,2,1,33,1125.0,1558,1,1,0,2017-06-16
16,2,2,2,3,2,1,33,1125.0,1844,0,0,0,2017-06-17
17,2,2,0,3,2,1,33,0.0,1495,0,0,0,2017-06-18
18,4,0,1,3,2,1,33,1125.0,1844,1,0,0,2017-06-19
19,4,0,1,3,2,1,33,1125.0,1844,1,0,0,2017-06-20
20,2,0,1,3,2,1,33,1125.0,1844,2,1,0,2017-06-21
21,3,0,1,3,2,1,33,1125.0,1844,0,0,0,2017-06-22
22,2,0,1,3,2,1,33,1125.0,1844,2,0,0,2017-06-23
23,2,1,1,3,2,1,33,1125.0,1535,0,0,0,2017-06-24
24,2,1,0,3,2,1,33,0.0,1927,0,0,0,2017-06-25
25,3,0,2,3,2,1,33,1125.0,1535,2,0,0,2017-06-26
26,1,0,0,3,2,1,33,1125.0,1481,2,0,0,2017-06-27
27,0,0,0,3,2,1,33,1125.0,1448,1,0,0,2017-06-28
28,0,0,0,3,2,1,33,1125.0,1448,0,0,0,2017-06-29
29,0,0,0,3,2,1,33,1125.0,1448,0,0,0,2017-06-30
30,0,1,1,3,2,1,33,1125.0,1448,0,0,0,2017-07-01
31,0,1,0,3,2,1,33,0.0,1918,0,0,0,2017-07-02
32,1,0,0,3,2,1,33,1125.0,1434,0,0,0,2017-07-03
33,0,0,0,3,2,1,33,1125.0,1434,1,0,0,2017-07-04
