,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,2,0,2,3,2,1,33,1125.0,1751,0,0,0,2017-06-01
1,3,0,3,3,2,1,33,1125.0,1751,2,0,0,2017-06-02
2,3,0,0,3,2,1,33,1125.0,1751,0,0,0,2017-06-03
3,3,0,0,3,2,1,33,0.0,1792,0,0,0,2017-06-04
4,1,0,1,3,2,1,33,1125.0,1751,3,0,0,2017-06-05
5,0,0,0,3,2,1,33,1125.0,1751,1,0,0,2017-06-06
6,1,0,1,3,2,1,33,1125.0,1751,0,0,0,2017-06-07
7,2,0,2,3,2,1,33,1125.0,1751,1,0,0,2017-06-08
8,2,0,2,3,2,1,33,1125.0,1751,2,0,0,2017-06-09
9,2,0,0,3,2,1,33,1125.0,1751,0,0,0,2017-06-10
10,2,0,0,3,2,1,33,0.0,1955,0,0,0,2017-06-11
11,2,0,0,3,2,1,33,1125.0,1751,0,0,0,2017-06-12
12,1,0,0,3,2,1,33,1125.0,1751,1,0,0,2017-06-13
13,0,0,0,3,2,1,33,1125.0,1751,1,0,0,2017-06-14
14,2,0,2,3,2,1,33,1125.0,1751,0,0,0,2017-06-15
15,3,0,1,3,2,1,33,1125.0,1751,0,0,0,2017-06-16
16,3,2,2,3,2,1,33,1125.0,1751,0,0,0,2017-06-17
17,3,2,0,3,2,1,33,0.0,1592,0,0,0,2017-06-18
18,4,0,1,3,2,1,33,1125.0,1751,2,0,0,2017-06-19
19,1,0,0,3,2,1,33,1125.0,1751,2,1,0,2017-06-20
20,1,0,0,3,2,1,33,1125.0,1751,0,0,0,2017-06-21
21,1,0,1,3,2,1,33,1125.0,1751,1,0,0,2017-06-22
22,1,0,0,3,2,1,33,1125.0,1765,0,0,0,2017-06-23
23,1,2,2,3,2,1,33,1125.0,1765,0,0,0,2017-06-24
24,1,2,0,3,2,1,33,0.0,1784,0,0,0,2017-06-25
25,2,0,0,3,2,1,33,1125.0,1890,1,0,0,2017-06-26
26,2,0,1,3,2,1,33,1125.0,1890,1,0,0,2017-06-27
27,2,0,2,3,2,1,33,1125.0,1540,2,0,0,2017-06-28
28,0,0,0,3,2,1,33,1125.0,1624,2,0,0,2017-06-29
29,2,0,2,3,2,1,33,1125.0,1624,0,0,0,2017-06-30
30,2,1,1,3,2,1,33,1125.0,1624,0,0,0,2017-07-01
31,2,1,0,3,2,1,33,0.0,1630,0,0,0,2017-07-02
32,2,0,0,3,2,1,33,1125.0,1624,1,0,0,2017-07-03
33,1,0,1,3,2,1,33,1125.0,1624,2,0,0,2017-07-04
34,2,0,2,3,2,1,34,1125.0,1624,1,0,0,2017-07-05
