,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,1,0,1,3,2,1,33,1125.0,1926,0,0,0,2017-06-01
1,2,0,1,3,2,1,33,1125.0,1926,0,0,0,2017-06-02
2,2,0,0,3,2,1,33,1125.0,1926,0,0,0,2017-06-03
3,2,0,0,3,2,1,33,0.0,1845,0,0,0,2017-06-04
4,3,0,3,3,2,1,33,1125.0,1926,2,0,0,2017-06-05
5,3,0,2,3,2,1,33,1125.0,1926,2,0,0,2017-06-06
6,2,0,1,3,2,1,33,1125.0,1926,2,0,0,2017-06-07
7,4,0,3,3,2,1,33,1125.0,1926,1,0,0,2017-06-08
8,1,0,0,3,2,1,33,1125.0,1688,3,0,0,2017-06-09
9,1,3,3,3,2,1,33,1125.0,1688,0,0,0,2017-06-10
10,1,3,0,3,2,1,33,0.0,1505,0,0,0,2017-06-11
11,5,0,2,3,2,1,33,1125.0,1688,0,1,0,2017-06-12
12,2,0,0,3,2,1,33,1125.0,1688,2,1,0,2017-06-13
13,1,0,1,3,2,1,33,1125.0,1688,1,1,0,2017-06-14
14,4,0,3,3,2,1,33,1125.0,1688,0,0,0,2017-06-15
15,3,0,2,3,2,1,33,1125.0,1688,3,0,0,2017-06-16
16,3,2,2,3,2,1,33,1125.0,1688,0,0,0,2017-06-17
17,3,2,0,3,2,1,33,0.0,1539,0,0,0,2017-06-18
18,5,0,1,3,2,1,33,1125.0,1688,1,0,0,2017-06-19
19,2,0,0,3,2,1,33,1125.0,1688,3,0,0,2017-06-20
20,2,0,1,3,2,1,33,1125.0,1688,0,1,0,2017-06-21
21,1,0,0,3,2,1,33,1125.0,1688,1,0,0,2017-06-22
22,2,0,1,3,2,1,33,1125.0,1688,0,0,0,2017-06-23
23,2,3,3,3,2,1,33,1125.0,1688,0,0,0,2017-06-24
24,2,3,0,3,2,1,33,0.0,1962,0,0,0,2017-06-25
25,6,0,2,3,2,1,33,1125.0,1688,1,0,0,2017-06-26
26,4,0,1,3,2,1,33,1125.0,1688,1,1,1,2017-06-27
27,2,0,1,3,2,1,33,1125.0,1688,3,0,0,2017-06-28
28,2,0,0,3,2,1,33,1125.0,1688,0,0,0,2017-06-29
29,3,0,2,3,2,1,33,1125.0,1688,1,0,0,2017-06-30
30,3,0,0,3,2,1,33,1125.0,1688,0,0,0,2017-07-01
31,3,0,0,3,2,1,33,0.0,1804,0,0,0,2017-07-02
32,6,0,4,3,2,1,33,1125.0,1700,1,0,0,2017-07-03
33,4,0,0,3,2,1,33,1125.0,1700,2,0,0,2017-07-04
34,1,0,0,3,2,1,34,1125.0,1700,1,2,0,2017-07-05
35,4,0,3,2,3,1,34,4175.0,1700,0,0,0,2017-07-06
36,6,0,4,2,3,1,34,1175.0,1700,2,0,0,2017-07-07
37,6,0,0,2,3,1,34,1175.0,1700,0,0,0,2017-07-08
38,6,0,0,2,3,1,34,0.0,2004,0,0,0,2017-07-09
39,5,0,1,2,3,1,34,1175.0,1700,0,2,0,2017-07-10
40,3,0,0,1,3,1,34,1025.0,1700,0,1,0,2017-07-11
41,2,0,1,1,3,1,34,1025.0,1700,1,0,1,2017-07-12
42,3,0,2,1,3,1,34,1025.0,1700,1,0,0,2017-07-13
43,5,0,4,1,3,1,34,1025.0,1700,1,1,0,2017-07-14
44,5,2,2,1,3,1,35,1025.0,1700,0,0,0,2017-07-15
45,5,2,0,1,3,1,35,0.0,1702,0,0,0,2017-07-16
46,5,1,0,1,3,1,35,1025.0,1961,0,1,0,2017-07-17
47,5,0,2,1,3,1,35,1025.0,1559,0,2,1,2017-07-18
48,4,0,1,1,3,1,35,1025.0,1559,1,1,0,2017-07-19
49,2,0,0,1,3,1,35,1025.0,1559,0,2,0,2017-07-20
50,2,0,1,2,3,1,35,1175.0,1559,1,0,0,2017-07-21
51,2,2,2,2,3,1,35,1175.0,1559,0,0,0,2017-07-22
52,2,2,0,2,3,1,35,0.0,1826,0,0,0,2017-07-23
53,3,0,0,2,3,1,35,1175.0,1559,0,0,1,2017-07-24
54,1,0,0,2,3,1,35,1175.0,1559,2,0,0,2017-07-25
55,1,0,1,2,3,1,35,1175.0,1559,0,1,0,2017-07-26
56,3,0,2,2,3,1,35,1175.0,1559,0,0,0,2017-07-27
57,1,0,0,2,3,1,35,1175.0,1559,1,1,0,2017-07-28
58,1,1,1,2,3,1,35,1175.0,1559,0,0,0,2017-07-29
59,1,1,0,2,3,1,35,0.0,1767,0,0,0,2017-07-30
60,3,0,1,2,3,1,35,1175.0,1559,0,0,0,2017-07-31
61,6,0,6,2,3,1,35,1175.0,1559,2,1,0,2017-08-01
62,6,0,2,2,3,1,35,1175.0,1559,1,1,0,2017-08-02
63,5,0,1,2,3,1,35,1175.0,1910,1,1,0,2017-08-03
64,3,0,1,2,3,1,35,1175.0,1910,2,1,0,2017-08-04
65,3,0,0,2,3,1,35,1175.0,1910,0,0,0,2017-08-05
66,3,0,0,2,3,1,35,0.0,1833,0,0,0,2017-08-06
67,4,0,1,2,3,1,35,1175.0,1910,0,0,0,2017-08-07
68,3,0,1,2,3,1,35,1175.0,1910,2,0,0,2017-08-08
69,5,0,4,2,3,1,35,1175.0,1910,1,0,1,2017-08-09
70,5,0,1,2,3,1,35,1175.0,1910,1,0,0,2017-08-10
71,2,0,0,2,3,1,35,1175.0,1910,2,1,0,2017-08-11
72,2,1,1,2,3,1,35,1175.0,1910,0,0,0,2017-08-12
73,2,1,0,2,3,1,35,0.0,1793,0,0,0,2017-08-13
74,1,0,0,2,3,1,35,1175.0,1910,0,2,0,2017-08-14
75,0,0,0,2,2,2,35,8250.0,1910,1,0,0,2017-08-15
76,4,0,4,2,2,2,35,1250.0,1910,0,0,0,2017-08-16
77,4,0,2,2,2,2,35,1250.0,1910,2,0,0,2017-08-17
78,2,0,0,3,2,2,35,1400.0,1910,1,1,0,2017-08-18
79,2,0,0,3,2,2,35,1400.0,1910,0,0,0,2017-08-19
80,2,0,0,3,2,2,35,0.0,1987,0,0,0,2017-08-20
81,2,0,2,3,2,2,35,1400.0,1541,1,1,0,2017-08-21
82,0,0,0,3,2,2,35,1400.0,1541,2,0,0,2017-08-22
83,2,0,2,3,2,2,35,1400.0,1541,0,0,0,2017-08-23
84,0,0,0,3,2,2,35,1400.0,1541,2,0,0,2017-08-24
85,0,0,0,3,2,1,35,1125.0,1541,0,0,0,2017-08-25
86,0,2,2,3,2,1,35,1125.0,2075,0,0,0,2017-08-26
87,0,2,0,3,2,1,35,0.0,1824,0,0,0,2017-08-27
88,2,0,0,3,2,1,35,1125.0,2075,0,0,0,2017-08-28
89,3,0,2,3,2,1,35,1125.0,2075,1,0,0,2017-08-29
90,2,0,0,3,2,1,35,1125.0,2075,1,0,0,2017-08-30
91,3,0,2,3,2,1,35,1125.0,2075,1,0,0,2017-08-31
92,0,0,0,3,2,1,35,1125.0,2075,3,0,0,2017-09-01
93,0,1,1,3,2,1,35,1125.0,1508,0,0,0,2017-09-02
94,0,1,0,3,2,1,35,0.0,1986,0,0,0,2017-09-03
95,1,0,0,3,2,1,35,1125.0,1508,0,0,0,2017-09-04
96,1,0,1,3,2,1,35,1125.0,1508,1,0,0,2017-09-05
97,1,0,1,3,2,1,35,1125.0,1508,1,0,0,2017-09-06
98,0,0,0,3,2,1,35,1125.0,1508,1,0,0,2017-09-07
99,1,0,1,3,2,1,35,1125.0,1508,0,0,0,2017-09-08
100,1,1,1,3,2,1,35,1125.0,1508,0,0,0,2017-09-09
101,1,1,0,3,2,1,35,0.0,1984,0,0,0,2017-09-10
102,2,0,1,3,2,1,35,1125.0,1508,1,0,0,2017-09-11
103,5,0,3,3,2,1,35,1125.0,1508,0,0,0,2017-09-12
104,2,0,1,3,2,1,35,1125.0,1508,3,1,0,2017-09-13
105,3,0,2,3,2,1,36,1125.0,1508,1,0,0,2017-09-14
106,3,0,2,2,3,1,36,4175.0,1508,1,1,0,2017-09-15
107,3,2,2,2,3,1,36,1175.0,1508,0,0,0,2017-09-16
108,3,2,0,2,3,1,36,0.0,2061,0,0,0,2017-09-17
109,4,0,1,2,3,1,36,1175.0,1508,2,0,0,2017-09-18
110,2,0,1,2,2,1,36,975.0,1508,2,0,0,2017-09-19
111,0,0,0,2,2,1,36,975.0,1508,1,1,0,2017-09-20
112,2,0,2,2,2,1,36,975.0,1962,0,0,0,2017-09-21
113,1,0,1,2,2,1,36,975.0,1962,2,0,0,2017-09-22
114,1,1,1,2,2,1,36,975.0,1962,0,0,0,2017-09-23
115,1,1,0,2,2,1,40,0.0,2309,0,0,0,2017-09-24
116,2,0,1,2,2,1,40,975.0,1962,1,0,0,2017-09-25
117,3,0,2,2,2,1,40,975.0,1962,1,0,0,2017-09-26
118,1,0,0,2,2,1,40,975.0,1962,2,0,0,2017-09-27
119,2,0,1,2,2,1,40,975.0,1837,0,0,0,2017-09-28
120,0,0,0,3,2,1,40,1125.0,2283,1,1,0,2017-09-29
121,0,0,0,3,2,1,40,1125.0,2283,0,0,0,2017-09-30
122,0,0,0,3,2,1,40,0.0,2313,0,0,0,2017-10-01
123,1,0,1,3,2,1,40,1125.0,2283,0,0,0,2017-10-02
124,3,0,3,3,2,1,40,1125.0,1827,1,0,0,2017-10-03
125,3,0,2,3,2,1,40,1125.0,1827,2,0,0,2017-10-04
126,3,0,2,3,2,1,40,1125.0,1827,2,0,0,2017-10-05
127,4,0,3,3,2,1,40,1125.0,1827,2,0,0,2017-10-06
128,4,1,1,3,2,1,40,1125.0,1827,0,0,0,2017-10-07
129,4,1,0,3,2,1,40,0.0,1712,0,0,0,2017-10-08
130,6,0,2,3,2,1,40,1125.0,1827,0,1,0,2017-10-09
131,5,0,2,3,2,1,40,1125.0,1827,1,2,0,2017-10-10
132,3,0,1,3,2,1,40,1125.0,1827,2,1,0,2017-10-11
133,2,0,1,3,2,1,40,1125.0,1827,2,0,0,2017-10-12
134,2,0,1,3,2,1,40,1125.0,1827,1,0,0,2017-10-13
135,2,1,1,3,2,1,40,1125.0,1827,0,0,0,2017-10-14
136,2,1,0,3,2,1,40,0.0,2281,0,0,0,2017-10-15
137,3,0,1,3,2,1,40,1125.0,1827,1,0,0,2017-10-16
138,6,0,4,3,2,1,40,1125.0,1827,1,0,0,2017-10-17
139,3,0,0,3,2,1,40,1125.0,1827,2,1,0,2017-10-18
140,1,0,0,3,2,1,40,1125.0,1827,1,0,1,2017-10-19
141,2,0,1,3,2,1,40,1125.0,1827,0,0,0,2017-10-20
142,2,2,2,3,2,1,40,1125.0,2286,0,0,0,2017-10-21
143,2,2,0,3,2,1,40,0.0,2121,0,0,0,2017-10-22
144,2,0,0,3,2,1,40,1125.0,2286,1,1,0,2017-10-23
145,2,0,1,3,2,1,40,1125.0,2286,1,0,0,2017-10-24
146,0,0,0,3,2,1,40,1125.0,2286,2,0,0,2017-10-25
147,1,0,1,3,2,1,40,1125.0,2313,0,0,0,2017-10-26
148,3,0,2,3,2,1,40,1125.0,2313,0,0,0,2017-10-27
149,3,1,1,3,2,1,40,1125.0,2313,0,0,0,2017-10-28
150,3,1,0,4,2,1,40,0.0,2068,0,0,0,2017-10-29
