,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,1,0,1,3,2,1,33,1125.0,1619,0,0,0,2017-06-01
1,0,0,0,3,2,1,33,1125.0,1619,1,0,0,2017-06-02
2,0,3,3,3,2,1,33,1125.0,1619,0,0,0,2017-06-03
3,0,3,0,3,2,1,33,0.0,1402,0,0,0,2017-06-04
4,4,0,1,3,2,1,33,1125.0,1619,0,0,0,2017-06-05
5,3,0,1,3,2,1,33,1125.0,1619,2,0,0,2017-06-06
6,5,0,2,3,2,1,33,1125.0,1619,0,0,0,2017-06-07
7,2,0,0,3,2,1,33,1125.0,1483,3,0,0,2017-06-08
8,2,0,1,3,2,1,33,1125.0,1483,0,1,0,2017-06-09
9,2,0,0,3,2,1,33,1125.0,1483,0,0,0,2017-06-10
10,2,0,0,3,2,1,33,0.0,1633,0,0,0,2017-06-11
11,0,0,0,3,2,1,33,1125.0,1483,1,1,0,2017-06-12
12,2,0,2,3,2,1,33,1125.0,1483,0,0,0,2017-06-13
13,1,0,1,3,2,1,33,1125.0,1483,2,0,0,2017-06-14
14,1,0,0,3,2,1,33,1125.0,1483,0,0,0,2017-06-15
15,1,0,0,3,2,1,33,1125.0,1483,0,0,0,2017-06-16
16,1,1,1,3,2,1,33,1125.0,1483,0,0,0,2017-06-17
17,1,1,0,3,2,1,33,0.0,1719,0,0,0,2017-06-18
18,1,0,0,3,2,1,33,1125.0,1483,1,0,0,2017-06-19
19,0,0,0,3,2,1,33,1125.0,1483,1,0,0,2017-06-20
20,0,0,0,3,2,1,33,1125.0,1483,0,0,0,2017-06-21
21,4,0,4,3,2,1,33,1125.0,1483,0,0,0,2017-06-22
22,5,0,2,3,2,1,33,1125.0,1483,0,1,0,2017-06-23
23,5,0,0,3,2,1,33,1125.0,1483,0,0,0,2017-06-24
24,5,0,0,3,2,1,33,0.0,1879,0,0,0,2017-06-25
25,2,0,0,3,2,1,33,1125.0,1483,3,0,0,2017-06-26
26,0,0,0,3,2,1,33,1125.0,1558,0,2,0,2017-06-27
27,0,0,0,3,2,1,33,1125.0,1558,0,0,0,2017-06-28
28,0,0,0,3,2,1,33,1125.0,1558,0,0,0,2017-06-29
29,2,0,2,3,2,1,33,1125.0,1558,0,0,0,2017-06-30
30,2,1,1,3,2,1,33,1125.0,1558,0,0,0,2017-07-01
31,2,1,0,3,2,1,33,0.0,1505,0,0,0,2017-07-02
32,2,0,0,3,2,1,33,1125.0,1558,1,0,0,2017-07-03
33,0,0,0,3,2,1,33,1125.0,1558,2,0,0,2017-07-04
34,2,0,2,3,2,1,34,1125.0,1558,0,0,0,2017-07-05
35,1,0,0,2,3,1,34,4175.0,1558,1,0,0,2017-07-06
36,3,0,2,2,3,1,34,1175.0,1558,0,0,0,2017-07-07
37,3,0,0,2,3,1,34,1175.0,1558,0,0,0,2017-07-08
38,3,0,0,2,3,1,34,0.0,1944,0,0,0,2017-07-09
39,0,0,0,2,3,1,34,1175.0,1640,2,1,0,2017-07-10
40,0,0,0,1,3,1,34,1025.0,1640,0,0,0,2017-07-11
41,1,0,1,1,3,1,34,1025.0,1640,0,0,0,2017-07-12
42,1,0,0,1,3,1,34,1025.0,1640,0,0,0,2017-07-13
43,1,0,1,1,3,1,34,1025.0,1640,1,0,0,2017-07-14
44,1,1,1,1,3,1,35,1025.0,1640,0,0,0,2017-07-15
45,1,1,0,1,3,1,35,0.0,1997,0,0,0,2017-07-16
46,2,0,1,1,3,1,35,1025.0,1566,1,0,0,2017-07-17
47,1,0,1,1,3,1,35,1025.0,1566,1,1,0,2017-07-18
48,2,0,1,1,3,1,35,1025.0,1566,0,0,0,2017-07-19
49,1,0,0,1,3,1,35,1025.0,1566,0,1,0,2017-07-20
50,3,0,2,2,3,1,35,1175.0,1566,0,0,0,2017-07-21
51,3,0,0,2,3,1,35,1175.0,1566,0,0,0,2017-07-22
52,3,0,0,2,3,1,35,0.0,1790,0,0,0,2017-07-23
53,2,0,2,2,3,1,35,1175.0,1566,2,1,0,2017-07-24
54,2,0,2,2,3,1,35,1175.0,1566,2,0,0,2017-07-25
55,3,0,2,2,3,1,35,1175.0,1566,1,0,0,2017-07-26
56,4,0,1,2,3,1,35,1175.0,1566,0,0,0,2017-07-27
57,5,0,2,2,3,1,35,1175.0,1566,1,0,0,2017-07-28
58,5,3,3,2,3,1,35,1175.0,1566,0,0,0,2017-07-29
59,5,3,0,2,3,1,35,0.0,1806,0,0,0,2017-07-30
60,6,1,0,2,3,1,35,1175.0,1566,1,0,0,2017-07-31
61,4,0,1,2,3,1,35,1175.0,1566,1,2,1,2017-08-01
62,2,0,0,2,3,1,35,1175.0,1566,2,0,0,2017-08-02
63,3,0,2,2,3,1,35,1175.0,1828,0,1,0,2017-08-03
64,2,0,0,2,3,1,35,1175.0,1828,1,0,0,2017-08-04
65,2,1,1,2,3,1,35,1175.0,1828,0,0,0,2017-08-05
66,2,1,0,2,3,1,35,0.0,2049,0,0,0,2017-08-06
67,3,0,2,2,3,1,35,1175.0,2076,1,1,0,2017-08-07
68,3,0,1,2,3,1,35,1175.0,2076,1,0,0,2017-08-08
69,1,0,0,2,3,1,35,1175.0,2076,1,1,0,2017-08-09
70,0,0,0,2,3,1,35,1175.0,2076,1,0,0,2017-08-10
71,1,0,1,2,3,1,35,1175.0,2076,0,0,0,2017-08-11
72,1,1,1,2,3,1,35,1175.0,2076,0,0,0,2017-08-12
73,1,1,0,2,3,1,35,0.0,1606,0,0,0,2017-08-13
74,3,0,1,2,3,1,35,1175.0,1728,0,0,0,2017-08-14
75,4,0,2,2,2,2,35,8250.0,1728,1,0,0,2017-08-15
76,4,0,2,2,2,2,35,1250.0,1728,2,0,0,2017-08-16
77,3,0,0,2,2,2,35,1250.0,1728,1,0,0,2017-08-17
78,5,0,2,3,2,2,35,1400.0,1728,0,0,0,2017-08-18
79,5,2,2,3,2,2,35,1400.0,1728,0,0,0,2017-08-19
80,5,2,0,3,2,2,35,0.0,1742,0,0,0,2017-08-20
81,2,0,0,3,2,2,35,1400.0,1728,3,2,0,2017-08-21
82,1,0,0,3,2,2,35,1400.0,1728,1,0,0,2017-08-22
83,2,0,1,3,2,2,35,1400.0,1728,0,0,0,2017-08-23
84,1,0,0,3,2,2,35,1400.0,1728,1,0,0,2017-08-24
85,0,0,0,3,2,1,35,1125.0,1728,1,0,0,2017-08-25
86,0,0,0,3,2,1,35,1125.0,1728,0,0,0,2017-08-26
87,0,0,0,3,2,1,35,0.0,1617,0,0,0,2017-08-27
88,2,0,2,3,2,1,35,1125.0,1720,0,0,0,2017-08-28
89,1,0,0,3,2,1,35,1125.0,1720,1,0,0,2017-08-29
90,3,0,3,3,2,1,35,1125.0,1720,1,0,0,2017-08-30
91,2,0,1,3,2,1,35,1125.0,1720,2,0,0,2017-08-31
92,1,0,1,3,2,1,35,1125.0,1720,2,0,0,2017-09-01
93,1,1,1,3,2,1,35,1125.0,1720,0,0,0,2017-09-02
94,1,1,0,3,2,1,35,0.0,1930,0,0,0,2017-09-03
95,2,0,1,3,2,1,35,1125.0,1720,1,0,0,2017-09-04
96,2,0,1,3,2,1,35,1125.0,1720,1,0,0,2017-09-05
97,0,0,0,3,2,1,35,1125.0,1720,2,0,0,2017-09-06
98,2,0,2,3,2,1,35,1125.0,1720,0,0,0,2017-09-07
99,3,0,3,3,2,1,35,1125.0,1711,2,0,0,2017-09-08
100,3,2,2,3,2,1,35,1125.0,1711,0,0,0,2017-09-09
101,3,2,0,3,2,1,35,0.0,2068,0,0,0,2017-09-10
102,3,0,1,3,2,1,35,1125.0,1711,3,0,0,2017-09-11
103,4,0,3,3,2,1,35,1125.0,1711,2,0,0,2017-09-12
104,1,0,0,3,2,1,35,1125.0,1711,2,1,0,2017-09-13
105,1,0,1,3,2,1,36,1125.0,1711,1,0,0,2017-09-14
106,2,0,1,2,3,1,36,4175.0,1711,0,0,0,2017-09-15
107,2,1,1,2,3,1,36,1175.0,1711,0,0,0,2017-09-16
108,2,1,0,2,3,1,36,0.0,1559,0,0,0,2017-09-17
109,4,0,2,2,3,1,36,1175.0,1711,1,0,0,2017-09-18
110,5,1,3,2,2,1,36,975.0,1711,0,0,0,2017-09-19
111,3,0,0,2,2,1,36,975.0,1711,2,1,0,2017-09-20
112,3,0,1,2,2,1,36,975.0,1711,1,0,0,2017-09-21
113,3,0,1,2,2,1,36,975.0,1711,1,0,0,2017-09-22
114,3,0,0,2,2,1,36,975.0,1711,0,0,0,2017-09-23
115,3,0,0,2,2,1,40,0.0,2169,0,0,0,2017-09-24
