,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,1,0,1,3,2,1,33,1125.0,1939,0,0,0,2017-06-01
1,0,0,0,3,2,1,33,1125.0,1939,1,0,0,2017-06-02
2,0,0,0,3,2,1,33,1125.0,1939,0,0,0,2017-06-03
3,0,0,0,3,2,1,33,0.0,1879,0,0,0,2017-06-04
4,1,0,1,3,2,1,33,1125.0,1939,0,0,0,2017-06-05
5,2,0,1,3,2,1,33,1125.0,1939,0,0,0,2017-06-06
6,1,0,1,3,2,1,33,1125.0,1939,2,0,0,2017-06-07
7,1,0,1,3,2,1,33,1125.0,1575,1,0,0,2017-06-08
8,1,0,0,3,2,1,33,1125.0,1575,0,0,0,2017-06-09
9,1,0,0,3,2,1,33,1125.0,1555,0,0,0,2017-06-10
10,1,0,0,3,2,1,33,0.0,1814,0,0,0,2017-06-11
11,1,0,1,3,2,1,33,1125.0,1555,1,0,0,2017-06-12
12,0,0,0,3,2,1,33,1125.0,1717,1,0,0,2017-06-13
13,1,0,1,3,2,1,33,1125.0,1717,0,0,0,2017-06-14
14,0,0,0,3,2,1,33,1125.0,1717,1,0,0,2017-06-15
15,2,0,2,3,2,1,33,1125.0,1717,0,0,0,2017-06-16
16,2,0,0,3,2,1,33,1125.0,1717,0,0,0,2017-06-17
17,2,0,0,3,2,1,33,0.0,1543,0,0,0,2017-06-18
18,2,0,0,3,2,1,33,1125.0,1717,0,0,0,2017-06-19
19,2,0,1,3,2,1,33,1125.0,1763,1,0,0,2017-06-20
20,1,0,0,3,2,1,33,1125.0,1763,1,0,0,2017-06-21
21,2,0,2,3,2,1,33,1125.0,1763,1,0,0,2017-06-22
22,5,0,4,3,2,1,33,1125.0,1763,1,0,0,2017-06-23
23,5,1,1,3,2,1,33,1125.0,1556,0,0,0,2017-06-24
24,5,1,0,3,2,1,33,0.0,1842,0,0,0,2017-06-25
25,4,0,1,3,2,1,33,1125.0,1556,2,1,0,2017-06-26
26,3,0,2,3,2,1,33,1125.0,1556,2,1,0,2017-06-27
27,4,0,1,3,2,1,33,1125.0,1556,0,0,0,2017-06-28
28,2,0,2,3,2,1,33,1125.0,1556,3,1,0,2017-06-29
29,4,0,3,3,2,1,33,1125.0,1556,1,0,0,2017-06-30
30,4,0,0,3,2,1,33,1125.0,1556,0,0,0,2017-07-01
