,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,0,0,0,3,2,1,33,1125.0,1405,0,0,0,2017-06-01
1,0,0,0,3,2,1,33,1125.0,1405,0,0,0,2017-06-02
2,0,2,2,3,2,1,33,1125.0,1405,0,0,0,2017-06-03
3,0,2,0,3,2,1,33,0.0,1466,0,0,0,2017-06-04
4,4,0,2,3,2,1,33,1125.0,1405,0,0,0,2017-06-05
5,6,0,2,3,2,1,33,1125.0,1405,0,0,0,2017-06-06
6,4,0,1,3,2,1,33,1125.0,1405,2,1,0,2017-06-07
7,4,0,2,3,2,1,33,1125.0,1405,1,0,1,2017-06-08
8,3,0,1,3,2,1,33,1125.0,1405,2,0,0,2017-06-09
9,3,4,4,3,2,1,33,1125.0,1405,0,0,0,2017-06-10
10,3,4,0,3,2,1,33,0.0,1736,0,0,0,2017-06-11
11,6,2,2,3,2,1,33,1125.0,1405,1,0,0,2017-06-12
12,5,0,1,3,2,1,33,1125.0,1405,2,2,0,2017-06-13
13,3,0,1,3,2,1,33,1125.0,1405,2,0,1,2017-06-14
14,2,0,1,3,2,1,33,1125.0,1405,2,0,0,2017-06-15
15,2,0,2,3,2,1,33,1125.0,1405,1,1,0,2017-06-16
16,2,0,0,3,2,1,33,1125.0,1405,0,0,0,2017-06-17
17,2,0,0,3,2,1,33,0.0,1895,0,0,0,2017-06-18
18,2,0,2,3,2,1,33,1125.0,1405,2,0,0,2017-06-19
19,2,0,0,3,2,1,33,1125.0,1405,0,0,0,2017-06-20
20,5,0,3,3,2,1,33,1125.0,1405,0,0,0,2017-06-21
21,2,0,0,3,2,1,33,1125.0,1405,2,1,0,2017-06-22
22,4,0,2,3,2,1,33,1125.0,1405,0,0,0,2017-06-23
23,4,0,0,3,2,1,33,1125.0,1405,0,0,0,2017-06-24
24,4,0,0,3,2,1,33,0.0,1467,0,0,0,2017-06-25
25,4,0,3,3,2,1,33,1125.0,1977,2,1,0,2017-06-26
26,4,0,1,3,2,1,33,1125.0,1977,1,0,0,2017-06-27
27,2,0,1,3,2,1,33,1125.0,1977,2,1,0,2017-06-28
28,2,0,1,3,2,1,33,1125.0,1977,1,0,0,2017-06-29
29,3,0,3,3,2,1,33,1125.0,1977,2,0,0,2017-06-30
30,3,3,3,3,2,1,33,1125.0,1977,0,0,0,2017-07-01
31,3,3,0,3,2,1,33,0.0,1571,0,0,0,2017-07-02
32,5,0,1,3,2,1,33,1125.0,1977,2,0,0,2017-07-03
33,1,0,0,3,2,1,33,1125.0,1977,3,1,0,2017-07-04
34,1,0,1,3,2,1,34,1125.0,1977,0,1,0,2017-07-05
35,1,0,1,2,3,1,34,4175.0,1977,0,1,0,2017-07-06
36,2,0,2,2,3,1,34,1175.0,1977,1,0,0,2017-07-07
37,2,1,1,2,3,1,34,1175.0,1977,0,0,0,2017-07-08
38,2,1,0,2,3,1,34,0.0,1940,0,0,0,2017-07-09
39,2,0,1,2,3,1,34,1175.0,1977,2,0,0,2017-07-10
40,1,0,1,1,3,1,34,1025.0,1977,1,0,0,2017-07-11
41,0,0,0,1,3,1,34,1025.0,1977,1,0,0,2017-07-12
42,2,0,2,1,3,1,34,1025.0,1977,0,0,0,2017-07-13
43,1,0,1,1,3,1,34,1025.0,1977,1,1,0,2017-07-14
44,1,0,0,1,3,1,35,1025.0,1977,0,0,0,2017-07-15
45,1,0,0,1,3,1,35,0.0,1836,0,0,0,2017-07-16
46,1,0,1,1,3,1,35,1025.0,1977,1,0,0,2017-07-17
47,2,0,1,1,3,1,35,1025.0,1977,0,0,0,2017-07-18
48,3,0,2,1,3,1,35,1025.0,1977,1,0,0,2017-07-19
49,4,0,2,1,3,1,35,1025.0,1977,1,0,0,2017-07-20
50,3,0,0,2,3,1,35,1175.0,1977,1,0,0,2017-07-21
51,3,0,0,2,3,1,35,1175.0,1977,0,0,0,2017-07-22
52,3,0,0,2,3,1,35,0.0,1878,0,0,0,2017-07-23
53,3,0,1,2,3,1,35,1175.0,1977,0,1,0,2017-07-24
54,3,0,1,2,3,1,35,1175.0,1977,0,1,0,2017-07-25
55,2,0,1,2,3,1,35,1175.0,1977,1,1,0,2017-07-26
56,4,0,3,2,3,1,35,1175.0,1977,1,0,0,2017-07-27
57,2,0,0,2,3,1,35,1175.0,1897,2,0,0,2017-07-28
58,2,0,0,2,3,1,35,1175.0,1897,0,0,0,2017-07-29
59,2,0,0,2,3,1,35,0.0,1811,0,0,0,2017-07-30
60,2,0,1,2,3,1,35,1175.0,1949,0,1,0,2017-07-31
61,1,0,0,2,3,1,35,1175.0,2091,1,0,0,2017-08-01
62,1,0,1,2,3,1,35,1175.0,2091,0,1,0,2017-08-02
63,1,0,1,2,3,1,35,1175.0,2091,1,0,0,2017-08-03
64,2,0,1,2,3,1,35,1175.0,2091,0,0,0,2017-08-04
65,2,1,1,2,3,1,35,1175.0,2091,0,0,0,2017-08-05
66,2,1,0,2,3,1,35,0.0,2061,0,0,0,2017-08-06
67,4,0,1,2,3,1,35,1175.0,1666,0,0,0,2017-08-07
