,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,0,0,0,3,2,1,33,1125.0,1738,0,0,0,2017-06-01
1,2,0,2,3,2,1,33,1125.0,1738,0,0,0,2017-06-02
2,2,0,0,3,2,1,33,1125.0,1738,0,0,0,2017-06-03
3,2,0,0,3,2,1,33,0.0,1592,0,0,0,2017-06-04
4,2,0,1,3,2,1,33,1125.0,1581,1,0,0,2017-06-05
5,2,0,1,3,2,1,33,1125.0,1581,1,0,0,2017-06-06
6,3,0,1,3,2,1,33,1125.0,1581,0,0,0,2017-06-07
7,2,0,2,3,2,1,33,1125.0,1581,3,0,0,2017-06-08
8,1,0,0,3,2,1,33,1125.0,1581,1,0,0,2017-06-09
9,1,1,1,3,2,1,33,1125.0,1581,0,0,0,2017-06-10
10,1,1,0,3,2,1,33,0.0,1643,0,0,0,2017-06-11
11,2,0,1,3,2,1,33,1125.0,1581,1,0,0,2017-06-12
12,1,0,1,3,2,1,33,1125.0,1926,2,0,0,2017-06-13
13,1,0,1,3,2,1,33,1125.0,1926,1,0,0,2017-06-14
14,2,0,2,3,2,1,33,1125.0,1926,1,0,0,2017-06-15
15,0,0,0,3,2,1,33,1125.0,1926,2,0,0,2017-06-16
16,0,1,1,3,2,1,33,1125.0,1926,0,0,0,2017-06-17
17,0,1,0,3,2,1,33,0.0,1893,0,0,0,2017-06-18
18,1,0,0,3,2,1,33,1125.0,1926,0,0,0,2017-06-19
19,1,0,1,3,2,1,33,1125.0,1926,1,0,0,2017-06-20
20,2,0,2,3,2,1,33,1125.0,1926,1,0,0,2017-06-21
21,1,0,1,3,2,1,33,1125.0,1926,2,0,0,2017-06-22
22,1,0,0,3,2,1,33,1125.0,1926,0,0,0,2017-06-23
23,1,2,2,3,2,1,33,1125.0,1926,0,0,0,2017-06-24
24,1,2,0,3,2,1,33,0.0,1899,0,0,0,2017-06-25
25,3,0,0,3,2,1,33,1125.0,1926,0,0,0,2017-06-26
26,2,0,1,3,2,1,33,1125.0,1926,2,0,0,2017-06-27
27,1,0,0,3,2,1,33,1125.0,1926,1,0,0,2017-06-28
28,4,0,3,3,2,1,33,1125.0,1926,0,0,0,2017-06-29
29,3,0,1,3,2,1,33,1125.0,1926,2,0,0,2017-06-30
30,3,2,2,3,2,1,33,1125.0,1926,0,0,0,2017-07-01
31,3,2,0,3,2,1,33,0.0,1494,0,0,0,2017-07-02
32,6,0,4,3,2,1,33,1125.0,1926,2,1,0,2017-07-03
33,2,0,0,3,2,1,33,1125.0,1926,2,2,0,2017-07-04
34,0,0,0,3,2,1,34,1125.0,1926,1,0,1,2017-07-05
35,1,0,1,2,3,1,34,4175.0,1926,0,0,0,2017-07-06
36,3,0,2,2,3,1,34,1175.0,1926,0,0,0,2017-07-07
37,3,1,1,2,3,1,34,1175.0,1926,0,0,0,2017-07-08
38,3,1,0,2,3,1,34,0.0,1975,0,0,0,2017-07-09
39,3,0,1,2,3,1,34,1175.0,1697,2,0,0,2017-07-10
40,2,0,1,1,3,1,34,1025.0,1697,1,0,0,2017-07-11
41,1,0,0,1,3,1,34,1025.0,1697,1,0,0,2017-07-12
42,3,0,2,1,3,1,34,1025.0,1697,0,0,0,2017-07-13
43,1,0,0,1,3,1,34,1025.0,1697,1,1,0,2017-07-14
44,1,4,4,1,3,1,35,1025.0,1697,0,0,0,2017-07-15
45,1,4,0,1,3,1,35,0.0,1917,0,0,0,2017-07-16
46,4,0,0,1,3,1,35,1025.0,1697,0,1,0,2017-07-17
47,4,0,2,1,3,1,35,1025.0,1697,1,1,0,2017-07-18
48,4,0,2,1,3,1,35,1025.0,1697,0,2,0,2017-07-19
49,3,0,1,1,3,1,35,1025.0,1697,1,1,0,2017-07-20
50,1,0,0,2,3,1,35,1175.0,1747,1,1,0,2017-07-21
51,1,0,0,2,3,1,35,1175.0,1747,0,0,0,2017-07-22
52,1,0,0,2,3,1,35,0.0,2016,0,0,0,2017-07-23
53,2,0,1,2,3,1,35,1175.0,1717,0,0,0,2017-07-24
54,1,0,0,2,3,1,35,1175.0,1756,0,1,0,2017-07-25
55,3,0,3,2,3,1,35,1175.0,1756,1,0,0,2017-07-26
56,4,0,2,2,3,1,35,1175.0,1756,1,0,0,2017-07-27
57,2,0,0,2,3,1,35,1175.0,1756,1,1,0,2017-07-28
58,2,0,0,2,3,1,35,1175.0,1756,0,0,0,2017-07-29
59,2,0,0,2,3,1,35,0.0,2011,0,0,0,2017-07-30
