,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,1,0,1,3,2,1,33,1125.0,1948,0,0,0,2017-06-01
1,1,0,0,3,2,1,33,1125.0,1948,0,0,0,2017-06-02
2,1,3,3,3,2,1,33,1125.0,1948,0,0,0,2017-06-03
3,1,3,0,3,2,1,33,0.0,1597,0,0,0,2017-06-04
4,4,0,0,3,2,1,33,1125.0,1948,0,0,0,2017-06-05
5,2,0,1,3,2,1,33,1125.0,1948,3,0,0,2017-06-06
6,1,0,1,3,2,1,33,1125.0,1948,1,1,0,2017-06-07
7,1,0,1,3,2,1,33,1125.0,1948,1,0,0,2017-06-08
8,0,0,0,3,2,1,33,1125.0,1948,1,0,0,2017-06-09
9,0,1,1,3,2,1,33,1125.0,1948,0,0,0,2017-06-10
10,0,1,0,3,2,1,33,0.0,1765,0,0,0,2017-06-11
11,1,0,0,3,2,1,33,1125.0,1948,0,0,0,2017-06-12
12,1,0,1,3,2,1,33,1125.0,1948,1,0,0,2017-06-13
13,1,0,1,3,2,1,33,1125.0,1948,1,0,0,2017-06-14
14,1,0,1,3,2,1,33,1125.0,1948,1,0,0,2017-06-15
15,0,0,0,3,2,1,33,1125.0,1948,1,0,0,2017-06-16
16,0,1,1,3,2,1,33,1125.0,1948,0,0,0,2017-06-17
17,0,1,0,3,2,1,33,0.0,1552,0,0,0,2017-06-18
18,1,0,0,3,2,1,33,1125.0,1948,0,0,0,2017-06-19
19,0,0,0,3,2,1,33,1125.0,1948,1,0,0,2017-06-20
20,1,0,1,3,2,1,33,1125.0,1948,0,0,0,2017-06-21
21,2,0,1,3,2,1,33,1125.0,1948,0,0,0,2017-06-22
22,1,0,0,3,2,1,33,1125.0,1948,1,0,0,2017-06-23
23,1,1,1,3,2,1,33,1125.0,1948,0,0,0,2017-06-24
24,1,1,0,3,2,1,33,0.0,1426,0,0,0,2017-06-25
25,2,0,0,3,2,1,33,1125.0,1948,0,0,0,2017-06-26
26,2,0,1,3,2,1,33,1125.0,1948,1,0,0,2017-06-27
27,1,0,0,3,2,1,33,1125.0,1713,1,0,0,2017-06-28
28,0,0,0,3,2,1,33,1125.0,1441,1,0,0,2017-06-29
29,3,0,3,3,2,1,33,1125.0,1739,0,0,0,2017-06-30
30,3,0,0,3,2,1,33,1125.0,1739,0,0,0,2017-07-01
31,3,0,0,3,2,1,33,0.0,1431,0,0,0,2017-07-02
32,2,0,1,3,2,1,33,1125.0,1739,2,0,0,2017-07-03
33,1,0,0,3,2,1,33,1125.0,1739,1,0,0,2017-07-04
34,1,0,0,3,2,1,34,1125.0,1739,0,0,0,2017-07-05
35,1,0,0,2,3,1,34,4175.0,1739,0,0,0,2017-07-06
36,3,0,2,2,3,1,34,1175.0,1739,0,0,0,2017-07-07
37,3,1,1,2,3,1,34,1175.0,1739,0,0,0,2017-07-08
38,3,1,0,2,3,1,34,0.0,1920,0,0,0,2017-07-09
39,5,0,2,2,3,1,34,1175.0,1739,1,0,0,2017-07-10
40,3,0,1,1,3,1,34,1025.0,1739,1,1,0,2017-07-11
41,3,0,2,1,3,1,34,1025.0,1813,0,2,0,2017-07-12
42,5,0,2,1,3,1,34,1025.0,1813,0,0,0,2017-07-13
43,4,0,1,1,3,1,34,1025.0,1813,1,1,0,2017-07-14
44,4,1,1,1,3,1,35,1025.0,1813,0,0,0,2017-07-15
45,4,1,0,1,3,1,35,0.0,1590,0,0,0,2017-07-16
46,5,0,0,1,3,1,35,1025.0,1744,0,0,0,2017-07-17
47,5,0,0,1,3,1,35,1025.0,1744,0,0,0,2017-07-18
48,3,0,0,1,3,1,35,1025.0,1744,1,1,0,2017-07-19
49,2,0,0,1,3,1,35,1025.0,1744,0,1,0,2017-07-20
50,3,0,2,2,3,1,35,1175.0,1744,0,1,0,2017-07-21
51,3,0,0,2,3,1,35,1175.0,1533,0,0,0,2017-07-22
52,3,0,0,2,3,1,35,0.0,2071,0,0,0,2017-07-23
53,3,0,1,2,3,1,35,1175.0,2032,1,0,0,2017-07-24
54,3,0,2,2,3,1,35,1175.0,2032,2,0,0,2017-07-25
55,2,0,1,2,3,1,35,1175.0,2032,2,0,0,2017-07-26
56,2,0,1,2,3,1,35,1175.0,2032,1,0,0,2017-07-27
57,1,0,0,2,3,1,35,1175.0,2032,1,0,0,2017-07-28
58,1,0,0,2,3,1,35,1175.0,2032,0,0,0,2017-07-29
59,1,0,0,2,3,1,35,0.0,1969,0,0,0,2017-07-30
60,2,0,1,2,3,1,35,1175.0,2032,0,0,0,2017-07-31
61,2,0,0,2,3,1,35,1175.0,2032,0,0,0,2017-08-01
62,1,0,0,2,3,1,35,1175.0,2032,1,0,0,2017-08-02
63,1,0,0,2,3,1,35,1175.0,2032,0,0,0,2017-08-03
64,1,0,0,2,3,1,35,1175.0,2032,0,0,0,2017-08-04
65,1,0,0,2,3,1,35,1175.0,2032,0,0,0,2017-08-05
66,1,0,0,2,3,1,35,0.0,1734,0,0,0,2017-08-06
67,1,0,0,2,3,1,35,1175.0,2032,0,0,0,2017-08-07
68,3,0,2,2,3,1,35,1175.0,2032,0,0,0,2017-08-08
69,3,0,1,2,3,1,35,1175.0,1867,1,0,0,2017-08-09
70,3,0,2,2,3,1,35,1175.0,1867,2,0,0,2017-08-10
71,3,0,1,2,3,1,35,1175.0,1610,1,0,0,2017-08-11
72,3,1,1,2,3,1,35,1175.0,1610,0,0,0,2017-08-12
73,3,1,0,2,3,1,35,0.0,1762,0,0,0,2017-08-13
74,4,0,2,2,3,1,35,1175.0,1610,2,0,0,2017-08-14
75,5,0,2,2,2,2,35,8250.0,1610,1,0,0,2017-08-15
76,4,0,1,2,2,2,35,1250.0,1610,1,1,0,2017-08-16
77,1,0,0,2,2,2,35,1250.0,1517,2,1,0,2017-08-17
78,1,0,0,3,2,2,35,1400.0,1517,0,0,0,2017-08-18
79,1,0,0,3,2,2,35,1400.0,1517,0,0,0,2017-08-19
80,1,0,0,3,2,2,35,0.0,1548,0,0,0,2017-08-20
