,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,0,0,0,3,2,1,33,1125.0,1650,0,0,0,2017-06-01
1,0,0,0,3,2,1,33,1125.0,1650,0,0,0,2017-06-02
2,0,0,0,3,2,1,33,1125.0,1650,0,0,0,2017-06-03
3,0,0,0,3,2,1,33,0.0,1519,0,0,0,2017-06-04
4,1,0,1,3,2,1,33,1125.0,1650,0,0,0,2017-06-05
5,1,0,1,3,2,1,33,1125.0,1650,1,0,0,2017-06-06
6,2,0,2,3,2,1,33,1125.0,1650,1,0,0,2017-06-07
7,3,0,1,3,2,1,33,1125.0,1650,0,0,0,2017-06-08
8,2,0,1,3,2,1,33,1125.0,1650,2,0,0,2017-06-09
9,2,2,2,3,2,1,33,1125.0,1650,0,0,0,2017-06-10
10,2,2,0,3,2,1,33,0.0,1839,0,0,0,2017-06-11
11,4,0,0,3,2,1,33,1125.0,1650,0,0,0,2017-06-12
12,6,1,3,3,2,1,33,1125.0,1650,0,0,0,2017-06-13
13,6,0,1,3,2,1,33,1125.0,1650,2,0,0,2017-06-14
14,4,0,1,3,2,1,33,1125.0,1650,3,0,0,2017-06-15
15,4,0,1,3,2,1,33,1125.0,1650,1,0,0,2017-06-16
16,4,1,1,3,2,1,33,1125.0,1650,0,0,0,2017-06-17
17,4,1,0,3,2,1,33,0.0,1815,0,0,0,2017-06-18
18,6,1,3,3,2,1,33,1125.0,1650,0,1,0,2017-06-19
19,5,0,0,3,2,1,33,1125.0,1650,2,0,0,2017-06-20
20,4,0,1,3,2,1,33,1125.0,1650,1,1,0,2017-06-21
21,3,0,1,3,2,1,33,1125.0,1650,1,1,0,2017-06-22
22,1,0,0,3,2,1,33,1125.0,1650,1,0,1,2017-06-23
23,1,3,3,3,2,1,33,1125.0,1650,0,0,0,2017-06-24
24,1,3,0,3,2,1,33,0.0,1775,0,0,0,2017-06-25
25,4,0,1,3,2,1,33,1125.0,1650,1,0,0,2017-06-26
26,0,0,0,3,2,1,33,1125.0,1650,3,1,0,2017-06-27
27,2,0,2,3,2,1,33,1125.0,1650,0,0,0,2017-06-28
28,3,0,2,3,2,1,33,1125.0,1650,1,0,0,2017-06-29
29,1,0,0,3,2,1,33,1125.0,1650,2,0,0,2017-06-30
30,1,2,2,3,2,1,33,1125.0,1650,0,0,0,2017-07-01
31,1,2,0,3,2,1,33,0.0,1578,0,0,0,2017-07-02
32,4,0,1,3,2,1,33,1125.0,1936,0,0,0,2017-07-03
33,2,0,0,3,2,1,33,1125.0,1936,2,0,0,2017-07-04
